__v,_id,courseId,category,createdAt,credits,description,embedId,instructor,name,numOfReviews,ratings,reviews,slug,students,updatedAt
0,62603428e8c507e186ea4f88,35,62413cdeb28d80ff20172fdf,2022-04-20T16:26:16.278Z,2,"The course discusses the meaning, stages and causes of conflict. It also examines the conceptual definition of peace. It also discusses the rationale for the study of peace and conflict resolution in tertiary institutions. In addition, the course exposes participants to various concepts in peace and conflict studies such as conflict management, peace-making, peace building, conflict transformation, etc. The course also discusses in detail other topical issues in peace and conflict studies such as multi-track diplomacy, communication in peace studies, refugee generation in contemporary African States, conflict management in traditional African society, etc.",videoseries?list=PLrj7eQjjfPEZew8FCTeclOW7wyVTVYEJT,6214e2ac0feccaf7d266ebef,GST 201: PEACE STUDIES AND CONFLICT RESOLUTION,0,0,[],gst-201:-peace-studies-and-conflict-resolution,[],2022-04-20T16:26:16.278Z
0,6260350ae8c507e186ea4f8c,34,62413cdeb28d80ff20172fdf,2022-04-20T16:30:02.708Z,2,"Introduction to mechatronics systems. Measurement systems: control systems – microprocessor-based controllers. Sensor and transducers: performance terminology – sensors for displacement, position and proximity; velocity, motion, force, fluid pressure, liquid level. Temperature, light sensors: selection of sensors. Pneumatic and hydraulic systems: directional control valves – rotary actuators. Mechanical actuation systems: cams, gear trains, ratchet and pawl, belt and chain drives, bearings. Electrical actuation systems: mechanical switches, solid state switches, solenoids, dc motors, ac motors, stepper motors.",videoseries?list=PLLy_2iUCG87BNHXRb6L2pWEpMcLoFaY_U,6214e2ac0feccaf7d266ebef,ENG 204: INTRODUCTION TO MECHATRONICS ENGINEERING,0,0,[],eng-204:-introduction-to-mechatronics-engineering,[],2022-04-20T16:30:02.708Z
0,6260395de8c507e186ea4f90,33,62413cdeb28d80ff20172fdf,2022-04-20T16:48:29.164Z,3,"Nature of atom, the vacuum values, (diode, triode, tetriode, pentriode). Basic concepts of semi-conductors charge carriers, effective mass, mobility, conductivity life time and recommendation, continuity equation, flow equations, Hall effect, PN junction, choke; rectification and filtration, bipolar transistors, its characteristics: CB, CC, CE configurations. The transistor and switching devices (AC-DC load lines) small signal amplifier.",videoseries?list=PLX2gX-ftPVXW6bFHC_a2wsp7kJgWyeaT0,6214e2ac0feccaf7d266ebef,ENG 222: BASIC ELECTRICAL ENGINEERING II,0,0,[],eng-222:-basic-electrical-engineering-ii,[],2022-04-20T16:48:29.164Z
0,62603aaee8c507e186ea4f94,32,62413cdeb28d80ff20172fdf,2022-04-20T16:54:06.552Z,2,"Top-down, Bottom-up designs, system specifics on flowchart, pseudo-codes, state diagrams, modular designs, and sequence looping and decision mechanisms. Sequence control: flow of control in programming languages in evaluating expansions and executing statements: user defined expressions and statements: simple and compound: sub programming and co-routines as abstractions of expression and statement, exception handling; parameter passing method, closures, continuation; higher order functions. Programming paradigms, alternative programming paradigms (e.g. quick basic and visual basic version 6.0). Programme construction using the object oriented functional and logic paradigms. Introduction to C programming: programming paradigms; procedure abstraction data abstraction object orientation. Essential of a C++ program: Types of operators and expressive i.e. variables definition, qualifying compound assignment operators, the increment and decrement operators. Sample input and output; Access to the standard C++ a library, unformatted input/output flow of control, relational operators and expression equality, logical operators and expression. The while, for, do statement program files. Arrays and pointers. Introduction to Java programming, JavaScript",videoseries?list=PLMJlRf5sZ0zSz9ElivBEBWWgZAC0rHm3A,6214e2ac0feccaf7d266ebef,ENG 224: STRUCTURED COMPUTER PROGRAMMING,0,0,[],eng-224:-structured-computer-programming,[],2022-04-20T16:54:06.552Z
0,62604da6e8c507e186ea4fa5,31,62603bb3e8c507e186ea4f99,2022-04-20T18:15:02.461Z,2,"Introduction to program development: User interface problems, solver structure, canonical forms of programs, program correctness, program development by stepwise refinement, recursive program analysis, object-oriented concept. Object oriented program development. Introduction to C programming: programming paradigms; procedure abstraction data abstraction object orientation. Essential of a C++ program: Types of operators and expressive i.e. variables definition, qualifying compound assignment operators, the increment and decrement operators. Sample input and output; Access to the standard C++ a library, unformatted input/output flow of control, relational operators and expression equality, logical operators and expression. The while, for, do statement program files. Arrays and pointers. Introduction to Java programming,JavaScript.",videoseries?list=PLEiEAq2VkUUJfeP9bgWAEs-NbGJyYXc-v,6214e2ac0feccaf7d266ebef,ENG 341: SOFTWARE DEVELOPMENT AND APPLICATION,0,0,[],eng-341:-software-development-and-application,[],2022-04-20T18:15:02.461Z
0,62604f38e8c507e186ea4fa9,30,62603bb3e8c507e186ea4f99,2022-04-20T18:21:44.882Z,3,"Theory and analysis of transducers and related circuits and instrumentation. Generalized configurations and performance characteristics of instruments are considered. Transducer devices for measuring physical parameters such as motion, force, torque, pressure, flow, and temperature are discussed. ",videoseries?list=PLm_MSClsnwm9HsQaejlrxvkNPWbvxgwWs,6214e2ac0feccaf7d266ebef,EEE 319: MEASUREMENT & INSTRUMENTATION,0,0,[],eee-319:-measurement-and-instrumentation,[],2022-04-20T18:21:44.882Z
0,62604febe8c507e186ea4fad,29,62603bb3e8c507e186ea4f99,2022-04-20T18:24:43.410Z,3,"Laplace and Fourier transforms, application of Laplace transform to transient analysis of RLC circuits, transformation concepts, reliability of transfer functions, Foster and Cauer’s methods of synthesis, 2-ports network synthesis, active filters.",videoseries?list=PL0o_zxa4K1BV9E-N8tSExU1djL6slnjbL,6214e2ac0feccaf7d266ebef,EEE 321: ELECTRIC CIRCUIT THEORY,0,0,[],eee-321:-electric-circuit-theory,[],2022-04-20T18:24:43.410Z
0,6260521de8c507e186ea4fb1,28,62603bb3e8c507e186ea4f99,2022-04-20T18:34:05.205Z,3,"Basic principles of relays and actuators. Transformation of Electric energy. Transformer performance; equivalent circuits, efficiency, regulation, per unit values. Types of Transformers: Auto transformer, Instrument Transformer, Elements of Transformer design. Transformer in Polyphase circuits. Parallel operation of transformers. Basic principles of electromechanical energy conversion. Direct current machines: armature windings, internal torque, and methods of excitation. Armature reaction. Characteristics of D.C. generators and Motors. Basic principles of selection of motors and generators for practical application. Speed control and electric braking. Cross-field machines. Commutator machines.",videoseries?list=PL5TKV1tzb09lbVthPhckKZ7JsnwHkWmFP,6214e2ac0feccaf7d266ebef,EEE 325: ELECTRIC MACHINES,0,0,[],eee-325:-electric-machines,[],2022-04-20T18:34:05.205Z
0,62605305e8c507e186ea4fb5,27,62603bb3e8c507e186ea4f99,2022-04-20T18:37:57.853Z,2,"CAD/CAM systems: Introduction: Basic concepts and terminology. Introduction to computer graphic and data base design. Software systems: Interactive languages and data base design for CAD/CAM systems. Description of existing CAD/CAM systems. Application to mechanical, electronic design etc. CAD simulation tools. Manufacturing process, review of common manufacturing process and the organization of the manufacturing unit, manufacturing process aided by computers, numerical controlled machine tool. Computerized numerical controlled tools and adaptive control system. Industrial robots and flexible manufacturing systems (FMS) (PLC, Ladder diagram etc.)",videoseries?list=PL970B66C256FA05E1,6214e2ac0feccaf7d266ebef,ENG 342: ADVANCED COMPUTER APPLICATIONS,0,0,[],eng-342:-advanced-computer-applications,[],2022-04-20T18:37:57.853Z
0,62605550e8c507e186ea4fb9,26,62603bb3e8c507e186ea4f99,2022-04-20T18:47:44.116Z,2,"Law for Engineering Practice: Source of Law; Legislation, case-law and custom. Distinction between criminal and civil law, organization of the courts, doctrine and binding precedent. Formation of contract, contractual capacity, misrepresentation, discharge and remedies, agency sale of goods; conditions and warranties, transfer of property title, risk breaches of contract wrongfully injury to third party, apportionment of damages between employer and employee. Industrial accidents; duties of employer to employees and others on industrial premises, as imposed by case-law acts e.g. Mines and quarries, Factories, Office, shops and railway premises (of Nigeria) extent of action arising from such acts. Labour Organization law in Nigeria-Union Membership, closed shop agency shops, sole bargaining agencies. Contract Procedure: Parties to a contract and their function: contract documents and their purpose: General conditions of contracts specifications, drawing up bills of quantities, forms of tenders; acceptance of tender. Types of contract: fixed-price, cost-plus, semi-contracts. Financial arrangements, board relations, money measurement for interim certificate. Managerial Economics: Managerial theories of firm behaviours, price competition in various market structure, non-price competitions and quality optimization. Efficiency and performance evaluation. Demand estimating and forecasting. Managerial Accounting and Control: Financial goals and objectives. Analysis of cost behaviour standards for manufacturing and non-manufacturing costs. Absorption versus marginal costing. Control of non-manufacturing. Appropriate accounting and control systems for small, medium and large companies including consideration of centralize versus decentralized financial controls transfer, pricing etc. Control over capital projects, integrating project financial analysis with corporate strategy.",videoseries?list=PLvJR-crn9YFxZ_kvKXJr7_QVkPbs81qUj,6214e2ac0feccaf7d266ebef,ENG 384: ENGINEERING LAW AND MANAGERIAL ECONOMICS,0,0,[],eng-384:-engineering-law-and-managerial-economics,[],2022-04-20T18:47:44.116Z
0,62605623e8c507e186ea4fbd,25,62603bb3e8c507e186ea4f99,2022-04-20T18:51:15.273Z,3,"Definition of alphabet, syntax and semantics as used in selected higher-level language. Explanation of the terms; Variables, data types, expressions and assignment statements, Simple I/O, conditional and iterative control structures.. Multidimensional arrays; pointers, pointer to pointer, dynamic data structures and memory allocation. Functions and parameter passing, structured decomposition. Development of programmes for solving basic economic, engineering and scientific problems. Programming with relevant and current OOP languages. Implementation of object-oriented concepts; encapsulation and information hiding, Separation of behaviour and implementation, classes and subclasses, Inheritance (overriding, dynamic dispatch), Polymorphism(subtype polymorphism vs. inheritance), Class hierarchies. Control structures, Arrays, Methods, Applets. Graphics and event handling. Software design and construction in context of large OOP libraries taught in Java. Review of OOP, the structure of graphical user interface (GUI), OOP libraries, GUI application design and construction, OOP software development strategies, approaches to programming in teams.",videoseries?list=PLfVsf4Bjg79DLA5K3GLbIwf3baNVFO2Lq,6214e2ac0feccaf7d266ebef,COE 302: OBJECT ORIENTED PROGRAMMING,0,0,[],coe-302:-object-oriented-programming,[],2022-04-20T18:51:15.273Z
0,626056bee8c507e186ea4fc1,24,62603bb3e8c507e186ea4f99,2022-04-20T18:53:50.585Z,2,"Introduction to SIMD, MIMD, VLIW, EPIC, Systolic architecture, Interconnection networks(hypercube, shuffle-exchange, mesh, crossbar), Shared memory systems, Cache coherence, Memory models and memory consistency. Superscalar architecture, Branch prediction, Pre-fetching, Speculative execution, multithreaded architecture, scalability, symmetric multiprocessors; and parallel computers.",videoseries?list=PLBlnK6fEyqRgLLlzdgiTUKULKJPYc0A4q,6214e2ac0feccaf7d266ebef,COE 304: COMPUTER ARCHITECTURE AND ORGANIZATION,0,0,[],coe-304:-computer-architecture-and-organization,[],2022-04-20T18:53:50.585Z
0,626057e2e8c507e186ea4fc5,23,62603bb3e8c507e186ea4f99,2022-04-20T18:58:42.373Z,2,"Broadband and narrow band amplifiers, power amplifiers, voltage and current stabilizing circuits. Sinusoidal RC and RLC and crystal oscillators. Switching properties of electronic devices. Switching and wave shaping circuits. Generation of non-sinusoidal waveforms, astable, monostable and bistable multivibrators, comparator, Schmitt-trigger and time base generators using discrete transistor, operational amplifier fundamentals, analyses and applications, other analog integrated circuits-Time chips and their applications. Analysis and design of logic gates of various families. Diode logic, RTL, TTL, RCL, MOS and MOS of digital integrated circuits. Interfacing between various logic families. Concepts of small, medium, large and very large integration and their consequences, some digital building blocks, flip-flops, counters, register and decoders. Introduction to D/A and A/D conversion principles.",videoseries?list=PLDp9Jik5WjRu-ntz8lYYI1XxD2RHQhqXH,6214e2ac0feccaf7d266ebef,EEE 314: ELECTRONICS ENGINEERING,0,0,[],eee-314:-electronics-engineering,[],2022-04-20T18:58:42.373Z
0,6260595be8c507e186ea4fca,22,62603bbce8c507e186ea4f9c,2022-04-20T19:04:59.094Z,3,"Basic structure for data representation – Data definition languages. Sequential and linked storage allocation, for linear lists, for multilinked structures, for string processing techniques , Trees – implementation, traversal, mathematical properties, balanced, trees, heaps, hash tables. Efficient algorithms for sorting, searching and selection. Algorithm analysis: worst and average case analysis. Recurrences and asymptotic. Algorithm design techniques: divide-and-conquer, dynamic programming, greedy algorithms, amortized analysis. Primitive types, Arrays, Records, Strings and string processing, Data representation in memory, Static, stack and heap allocation, Runtime storage management, pointers and references, Linked structures, Implementation strategies for stacks, queues, and hash tables. Algorithm for fundamental graph problems such as depth-first search, connected components, topological sort, and shortest paths. Possible additional topics: network flow, string searching, parallel computation. C/C++ programme to implement basic data structure and their manipulation",videoseries?list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O,6214e2ac0feccaf7d266ebef,COE 401: ANALYSIS OF ALGORITHMS AND DATA STRUCTURES,0,0,[],coe-401:-analysis-of-algorithms-and-data-structures,[],2022-04-20T19:04:59.094Z
0,62605b52e8c507e186ea4fce,21,62603bbce8c507e186ea4f9c,2022-04-20T19:13:22.652Z,2,"Computer as a number crunching tool. Floating-point number representation and arithmetic error, stability, convergence theory of computational solution to problem: numerical algorithm formulation and design, numerical software systems. Introduction to the use of Octave, Matlab or LabView in numerical computation and engineering applications. Emphasis is on the use of software to solve real problems. Iterative solutions of non-linear systems: (Newton’s Method). Numerical solutions of linear systems. Numerical computation of Eigen values and Eigen vectors. Curve fitting; function approximation. Numerical differentiation and integration (Simpson’s Rule etc). Explicit and implicit methods. Differential equation (Euler’s method etc). Linear algebra. Finite differences.",videoseries?list=PLbxFfU5GKZz3D4NPYvvY7dvXiZ0awd4zn,6214e2ac0feccaf7d266ebef,COE 403: NUMERICAL COMPUTATIONS,0,0,[],coe-403:-numerical-computations,[],2022-04-20T19:13:22.652Z
0,62605c59e8c507e186ea4fd2,20,62603bbce8c507e186ea4f9c,2022-04-20T19:17:45.539Z,3,"I/O fundamentals: handshaking, buffering, programmed I/O, interrupt driven I/O. Interrupt structures: vectored and prioritized, interrupt acknowledgement. External storage, physical organization, and drives. Buses: bus protocols, arbitration, direct-memory access (DMA). Introduction to multiprocessor configuration and parallel processing. Multimedia support. RAID architectures. Microprocessor architecture and microprogramming model. Design requirements for microinstructions and instruction repertoire.",videoseries?list=PLrjkTql3jnm8HbdMwBYIMAd3UdstWChFH,6214e2ac0feccaf7d266ebef,COE 407: MICROPROCESSOR SYSTEM AND INTERFACING,0,0,[],coe-407:-microprocessor-system-and-interfacing,[],2022-04-20T19:17:45.539Z
0,62605d5be8c507e186ea4fd6,19,62603bbce8c507e186ea4f9c,2022-04-20T19:22:03.906Z,3,"Role and purpose of the operating system. History of operating system development. Functionality of a typical operating system. Mechanisms to support client-server models, hand-held devices. Design issues (efficiency, robustness, flexibility, portability, security, compatibility). Influences of security, networking, multimedia, windows: Structuring methods (monolithic, layered, modular, micro-kernel models): Abstractions, processes and resources: Concepts of application program interfaces (APIs): Application needs and the evolution of hardware and software techniques: Device organization: interrupts: Methods and implementations: Concept of user/system state and protection, transition to kernel mode. File systems: Management of secondary stores, Examples of operating systems, VM, OS, DOS/VS, WINDOWS, UNIX, LINUX, etc. A detailed study of two systems most commonly used in the country. ",videoseries?list=PLBlnK6fEyqRiVhbXDGLXDk_OQAeuVcp2O,6214e2ac0feccaf7d266ebef,COE 413: OPERATING SYSTEM,0,0,[],coe-413:-operating-system,[],2022-04-20T19:22:03.906Z
0,62605dfae8c507e186ea4fda,18,62603bbce8c507e186ea4f9c,2022-04-20T19:24:42.579Z,3,"Study of communication systems design and analysis. Topics include signals and spectra, errorcontrol coding, synchronization, multiple-access techniques, spread spectrum signaling, fading channels baseband signaling and detection in noise, digital and analog modulation and demodulation techniques, and communications link budget analysis. ",videoseries?list=PL2AD004D035C24F21,6214e2ac0feccaf7d266ebef,COE 415: COMMUNICATIONS PRINCIPLES,0,0,[],coe-415:-communications-principles,[],2022-04-20T19:24:42.579Z
